School Name,Suburb,State,Postcode,Type,Sector,ACARA ID
A B Paterson College,Arundel,QLD,4214,Combined,Non-Gov,48096
A.G.B.U. Alexander Primary School,Duffys Forest,NSW,2084,Primary,Non-Gov,44003
Abbotsford Primary School,Abbotsford,VIC,3067,Primary,Gov,44370
Abbotsford Public School,Abbotsford,NSW,2046,Primary,Gov,40987
Abbotsleigh,Wahroonga,NSW,2076,Combined,Non-Gov,43762
Abbotsleigh Junior School,Wahroonga,NSW,2076,Primary,Non-Gov,52056
Abercorn State School,Abercorn,QLD,4627,Primary,Gov,46801
Aberdeen Public School,Aberdeen,NSW,2336,Primary,Gov,41852
Aberfeldie Primary School,Essendon,VIC,3040,Primary,Gov,44727
Aberfoyle Hub Primary School,Aberfoyle Park,SA,5159,Primary,Gov,49360
Aberfoyle Park High School,Aberfoyle Park,SA,5159,Secondary,Gov,49663
Abergowrie State School,Abergowrie,QLD,4850,Primary,Gov,47089
Abermain Public School,Abermain,NSW,2326,Primary,Gov,41853
Aboriginal & Islander Independent Community School,Acacia Ridge,QLD,4110,Combined,Non-Gov,48059
Acacia Hill School,Sadadeen,NT,871,Special,Gov,50072
Acacia Ridge State School,Acacia Ridge,QLD,4110,Primary,Gov,46412
Academy of Mary Immaculate,Fitzroy,VIC,3065,Secondary,Non-Gov,45704
Adam Road Primary School,South Bunbury,WA,6230,Primary,Gov,48264
Adaminaby Public School,Adaminaby,NSW,2629,Primary,Gov,42715
Adamstown Public School,Adamstown,NSW,2289,Primary,Gov,41854
Adass Israel School,Elsternwick,VIC,3185,Combined,Non-Gov,46213
Adass Israel School - Glen Eira Road Campus,St Kilda East,VIC,3183,Combined,Non-Gov,52146
Adass Israel School - Orrong Road Campus,Elsternwick,VIC,3185,Combined,Non-Gov,46214
Adelaide Botanic High School,Adelaide,SA,5000,Secondary,Gov,52576
Adelaide East Education Centre,Campbelltown,SA,5074,Special,Gov,49559
Adelaide High School,Adelaide,SA,5000,Secondary,Gov,49453
Adelaide International School,Adelaide,SA,5000,Secondary,Non-Gov,52254
Adelaide North Special School,Munno Para West,SA,5115,Special,Gov,49340
Adelaide River School,Adelaide River,NT,846,Combined,Gov,50073
Adelaide Secondary School of English,West Croydon,SA,5008,Secondary,Gov,49664
Adelaide West Special Education Centre,Taperoo,SA,5017,Special,Gov,49643
Adelong Public School,Adelong,NSW,2729,Primary,Gov,42530
Advance College of Education Incorporated,Rosebud,VIC,3939,Special,Non-Gov,52378
Advance College of Education Incorporated - Hastings Hub,Hastings,VIC,3915,Special,Non-Gov,52379
Advance College of Education Incorporated - Mornington Campus,Mornington,VIC,3931,Special,Non-Gov,52430
Aetaomah School,Terragon,NSW,2484,Combined,Non-Gov,43780
Agnes Water State School,Agnes Water,QLD,4677,Primary,Gov,47391
Ainslie Parklands Primary School,Croydon,VIC,3136,Primary,Gov,44886
Ainslie School,Braddon,ACT,2612,Primary,Gov,49910
Aintree Primary School,Aintree,VIC,3336,Primary,Gov,52936
Airdale Primary School,Port Pirie,SA,5540,Primary,Gov,49549
Airds High School,Campbelltown,NSW,2560,Secondary,Gov,41594
Aireys Inlet Primary School,Aireys Inlet,VIC,3231,Primary,Gov,52492
Airly Primary School,Airly,VIC,3851,Primary,Gov,44716
Airville State School,Airville,QLD,4807,Primary,Gov,46805
Aitken College,Greenvale,VIC,3059,Combined,Non-Gov,46353
Aitken Creek Primary School,Craigieburn,VIC,3064,Primary,Gov,50266
Aitken Hill Primary School,Craigieburn,VIC,3064,Primary,Gov,52696
Aitkenvale State School,Aitkenvale,QLD,4814,Primary,Gov,46899
Ajuga School,Glenfield,NSW,2167,Special,Gov,41548
Al Amanah College,Liverpool,NSW,2170,Combined,Non-Gov,43919
"Al Amanah College, Bankstown campus",Bankstown,NSW,2200,Combined,Non-Gov,43852
Al Hikma College,Lakemba,NSW,2195,Primary,Non-Gov,50603
Al Iman College,Melton South,VIC,3338,Combined,Non-Gov,52380
Al Noori Muslim School,Greenacre,NSW,2190,Primary,Non-Gov,43958
Al Noori Muslim School - Senior Campus,Greenacre,NSW,2190,Secondary,Non-Gov,40979
Al Sadiq College,Greenacre,NSW,2190,Combined,Non-Gov,43741
Al Sadiq College Yagoona Campus,Yagoona,NSW,2199,Primary,Non-Gov,40720
Al Siraat College,Epping,VIC,3076,Combined,Non-Gov,46390
Al Siraat College - Online College,Epping,VIC,3076,Combined,Non-Gov,53460
Al Zahra College,Arncliffe,NSW,2205,Combined,Non-Gov,43946
Alamanda K-9 College,Point Cook,VIC,3030,Combined,Gov,50567
Al-Ameen College,Langford,WA,6147,Combined,Non-Gov,49138
Al-Ameen College - Malaga Campus,Malaga,WA,6090,Combined,Non-Gov,53385
Alawa Primary School,Alawa,NT,810,Primary,Gov,50010
Albanvale Primary School,Albanvale,VIC,3021,Primary,Gov,45065
Albany Creek State High School,Albany Creek,QLD,4035,Secondary,Gov,47534
Albany Creek State School,Albany Creek,QLD,4035,Primary,Gov,46546
Albany Hills State School,Albany Creek,QLD,4035,Primary,Gov,47310
Albany Primary School,Albany,WA,6330,Primary,Gov,48265
Albany Rise Primary School,Mulgrave,VIC,3170,Primary,Gov,45217
Albany Secondary Education Support Centre,Albany,WA,6330,Special,Gov,48851
Albany Senior High School,Albany,WA,6330,Secondary,Gov,48116
Albert Park College,Albert Park,VIC,3206,Secondary,Gov,50267
Albert Park College-Environmental Arts Hub,Albert Park,VIC,3207,Secondary,Gov,52157
Albert Park Flexible School,Milton,QLD,4064,Special,Non-Gov,40769
Albert Park Primary School,Albert Park,VIC,3206,Primary,Gov,44224
Albert Park Public School,East Lismore,NSW,2480,Primary,Gov,42339
Albert State School,Maryborough,QLD,4650,Primary,Gov,46424
Alberton Primary School,Queenstown,SA,5014,Primary,Gov,49198
Alberton Primary School,Alberton,VIC,3971,Primary,Gov,44030
Albion North Primary School,Sunshine North,VIC,3020,Primary,Gov,44875
Albion Park High School,Albion Park,NSW,2527,Secondary,Gov,42936
Albion Park Public School,Albion Park,NSW,2527,Primary,Gov,42716
Albion Park Rail Public School,Albion Park,NSW,2527,Primary,Gov,42861
Albion Primary School,Albion,VIC,3020,Primary,Gov,44732
Albuera Street Primary School,Battery Point,TAS,7004,Primary,Gov,40100
Albury High School,Albury,NSW,2640,Secondary,Gov,42689
Albury North Public School,Albury,NSW,2640,Primary,Gov,42654
Albury Public School,Albury,NSW,2640,Primary,Gov,42531
Albury West Public School,Albury,NSW,2640,Primary,Gov,42532
Alcoota School,Engawala,NT,872,Combined,Gov,50074
Aldavilla Public School,Yarravel,NSW,2440,Primary,Gov,42356
Aldercourt Primary School,Frankston North,VIC,3200,Primary,Gov,44987
Aldgate Primary School,Aldgate,SA,5154,Primary,Gov,49204
Aldinga Beach Primary School,Aldinga,SA,5173,Primary,Gov,49212
Aldinga Payinthi College,Aldinga,SA,5173,Combined,Gov,53035
Aldridge State High School,Maryborough,QLD,4650,Secondary,Gov,47419
Alekarenge School,Ali Curung,NT,872,Combined,Gov,50054
Alesco Secondary College,Cooks Hill,NSW,2300,Special,Non-Gov,40724
Alesco Secondary College - Abermain Campus,Abermain,NSW,2326,Special,Non-Gov,52072
Alesco Secondary College - Charlestown Campus,Charlestown,NSW,2290,Special,Non-Gov,53001
Alesco Secondary College - Coast Campus,Tuncurry,NSW,2428,Special,Non-Gov,52306
Alesco Secondary College - Northlakes Campus,Argenton,NSW,2284,Special,Non-Gov,52891
Alesco Secondary College - Raymond Terrace Campus,Raymond Terrace,NSW,2324,Special,Non-Gov,52307
Alesco Secondary College - Tomaree Campus,Nelson Bay,NSW,2315,Special,Non-Gov,52612
Alesco Secondary College - Woodberry Campus,Woodberry,NSW,2322,Special,Non-Gov,53548
