microSkillId,domain,description,yearMin,yearMax,defaultDifficultyBands,curriculumRef
NUM-NPV-COUNT-FORWARD-BACKWARD,NUM,Count forward and backward from any starting point,1,2,"[""FOUNDATION""]","[""AC9M1N01""]"
NUM-NPV-SKIP-COUNTING,NUM,Skip count by 2s 5s and 10s,1,3,"[""FOUNDATION""]","[""AC9M1N02""]"
NUM-NPV-PLACE-VALUE-ONES-TENS,NUM,Understand place value for ones and tens,1,2,"[""CORE""]","[""AC9M1N03""]"
NUM-NPV-PLACE-VALUE-HUNDREDS,NUM,Understand place value for hundreds,2,3,"[""CORE""]","[""AC9M2N01""]"
NUM-NPV-PLACE-VALUE-THOUSANDS,NUM,Understand place value for thousands,3,4,"[""CORE""]","[""AC9M3N01""]"
NUM-NPV-PLACE-VALUE-LARGE-NUMBERS,NUM,Understand place value for large numbers including decimals,4,6,"[""CORE""]","[""AC9M4N01""]"
NUM-NPV-ORDER-COMPARE,NUM,Order and compare whole numbers,2,6,"[""CORE""]","[""AC9M2N02""]"
NUM-NPV-ROUNDING-NEAREST,NUM,Round numbers to nearest 10 100 or 1000,3,6,"[""CORE""]","[""AC9M3N02""]"
NUM-NPV-ESTIMATION-REASONABLENESS,NUM,Estimate and check reasonableness of calculations,4,7,"[""CORE"",""STRETCH""]","[""AC9M4N02""]"
NUM-ADD-SUB-FACT-FLUENCY-WITHIN-20,NUM,Addition and subtraction fact fluency within 20,1,2,"[""FOUNDATION""]","[""AC9M1N04""]"
NUM-ADD-SUB-MENTAL-STRATEGIES,NUM,Mental strategies for addition and subtraction,2,4,"[""CORE""]","[""AC9M2N03""]"
NUM-ADD-SUB-WRITTEN-ALGORITHMS,NUM,Written algorithms for addition and subtraction,2,4,"[""CORE""]","[""AC9M2N04""]"
NUM-ADD-SUB-LARGE-NUMBERS,NUM,Add and subtract large numbers,4,6,"[""CORE""]","[""AC9M4N03""]"
NUM-ADD-SUB-MULTI-STEP-PROBLEMS,NUM,Solve multi-step addition and subtraction problems,3,6,"[""CORE"",""STRETCH""]","[""AC9M3N03""]"
NUM-MULT-REPEATED-ADDITION-CONCEPT,NUM,Understand multiplication as repeated addition,2,3,"[""FOUNDATION""]","[""AC9M2N05""]"
NUM-MULT-TIMES-TABLES-FLUENCY,NUM,Recall multiplication facts fluently,3,4,"[""CORE""]","[""AC9M3N04""]"
NUM-MULT-MENTAL-STRATEGIES,NUM,Mental strategies for multiplication,3,5,"[""CORE""]","[""AC9M3N05""]"
NUM-DIV-SHARING-GROUPING,NUM,Understand division as sharing and grouping,3,4,"[""FOUNDATION""]","[""AC9M3N06""]"
NUM-DIV-WITH-REMAINDERS,NUM,Divide with remainders,4,6,"[""CORE""]","[""AC9M4N04""]"
NUM-MULT-DIV-MULTI-STEP-PROBLEMS,NUM,Solve multi-step multiplication and division problems,4,7,"[""CORE"",""STRETCH""]","[""AC9M4N05""]"
NUM-FRAC-REPRESENTATION-MODELS,NUM,Represent fractions using models,2,3,"[""FOUNDATION""]","[""AC9M2N06""]"
NUM-FRAC-EQUIVALENCE-SIMPLIFYING,NUM,Identify equivalent fractions and simplify,3,5,"[""CORE""]","[""AC9M3N07""]"
NUM-FRAC-COMPARE-ORDER,NUM,Compare and order fractions,3,5,"[""CORE""]","[""AC9M3N08""]"
NUM-FRAC-ADD-SUB-SAME-DEN,NUM,Add and subtract fractions with same denominator,3,5,"[""CORE""]","[""AC9M3N09""]"
NUM-FRAC-ADD-SUB-DIFF-DEN,NUM,Add and subtract fractions with different denominators,4,6,"[""CORE"",""STRETCH""]","[""AC9M4N06""]"
NUM-FRAC-MULTIPLY-WHOLE,NUM,Multiply fractions by whole numbers,5,7,"[""CORE""]","[""AC9M5N01""]"
NUM-FRAC-WORD-PROBLEMS,NUM,Solve word problems involving fractions,4,7,"[""STRETCH""]","[""AC9M4N07""]"
NUM-DEC-PLACE-VALUE-TENTHS-HUNDREDTHS,NUM,Understand decimal place value tenths and hundredths,4,6,"[""CORE""]","[""AC9M4N08""]"
NUM-DEC-COMPARE-ORDER,NUM,Compare and order decimals,4,6,"[""CORE""]","[""AC9M4N09""]"
NUM-DEC-ADD-SUB,NUM,Add and subtract decimals,5,7,"[""CORE""]","[""AC9M5N02""]"
NUM-PERC-REPRESENTATION-FRACTION-DECIMAL,NUM,Represent percentages as fractions and decimals,5,7,"[""CORE""]","[""AC9M5N03""]"
NUM-PERC-OF-QUANTITY,NUM,Calculate percentage of a quantity,6,8,"[""CORE""]","[""AC9M6N01""]"
NUM-PERC-INCREASE-DECREASE,NUM,Calculate percentage increase and decrease,7,9,"[""CORE"",""STRETCH""]","[""AC9M7N01""]"
NUM-INT-POSITIVE-NEGATIVE-CONCEPT,NUM,Understand positive and negative integers,5,6,"[""CORE""]","[""AC9M5N04""]"
NUM-INT-NUMBER-LINE-ORDERING,NUM,Order integers on a number line,6,7,"[""CORE""]","[""AC9M6N02""]"
NUM-INT-OPERATIONS,NUM,Perform operations with integers,7,9,"[""CORE""]","[""AC9M7N02""]"
NUM-RAT-NUMBERS-COMPARE-ORDER,NUM,Compare and order rational numbers,7,9,"[""CORE""]","[""AC9M7N03""]"
NUM-ALG-NUMERIC-PATTERNS,NUM,Identify and continue numeric patterns,2,4,"[""FOUNDATION""]","[""AC9M2A01""]"
NUM-ALG-RULE-DESCRIPTION,NUM,Describe rules for number patterns,3,5,"[""CORE""]","[""AC9M3A01""]"
NUM-ALG-ALGEBRAIC-EXPRESSIONS,NUM,Create and evaluate algebraic expressions,6,8,"[""CORE""]","[""AC9M6A01""]"
NUM-ALG-SUBSTITUTION-EVALUATION,NUM,Substitute values and evaluate expressions,7,9,"[""CORE""]","[""AC9M7A01""]"
NUM-ALG-LINEAR-TABLES-RULES,NUM,Represent linear relationships in tables and rules,6,8,"[""CORE""]","[""AC9M6A02""]"
NUM-ALG-LINEAR-EQUATIONS,NUM,Solve linear equations,7,9,"[""CORE""]","[""AC9M7A02""]"
NUM-ALG-GRAPH-LINEAR-RELATIONSHIPS,NUM,Graph linear relationships,7,9,"[""CORE""]","[""AC9M7A03""]"
NUM-ALG-RATE-OF-CHANGE,NUM,Understand rate of change and gradient,8,9,"[""STRETCH""]","[""AC9M8A01""]"
NUM-ALG-QUADRATIC-PATTERNS,NUM,Identify quadratic patterns,8,9,"[""FOUNDATION""]","[""AC9M8A02""]"
NUM-ALG-QUADRATIC-GRAPHS-BASIC,NUM,Graph basic quadratic relationships,9,9,"[""CORE""]","[""AC9M9A01""]"
NUM-ALG-FACTOR-SIMPLE-QUADRATICS,NUM,Factor simple quadratic expressions,9,9,"[""STRETCH""]","[""AC9M9A02""]"
NUM-ALG-QUADRATIC-APPLICATIONS,NUM,Apply quadratics to real-world problems,9,10,"[""STRETCH""]","[""AC9M9A03""]"
NUM-GEO-2D-SHAPE-PROPERTIES,NUM,Identify properties of 2D shapes,1,3,"[""FOUNDATION""]","[""AC9M1SP01""]"
NUM-GEO-3D-SHAPE-PROPERTIES,NUM,Identify properties of 3D shapes,2,4,"[""FOUNDATION"",""CORE""]","[""AC9M2SP01""]"
NUM-GEO-ANGLE-TYPES,NUM,Identify and classify angle types,3,5,"[""CORE""]","[""AC9M3SP01""]"
NUM-GEO-ANGLE-SUMS,NUM,Calculate angle sums in shapes,4,6,"[""CORE""]","[""AC9M4SP01""]"
NUM-GEO-TRANSLATION,NUM,Perform translations of shapes,4,6,"[""CORE""]","[""AC9M4SP02""]"
NUM-GEO-REFLECTION,NUM,Perform reflections of shapes,5,7,"[""CORE""]","[""AC9M5SP01""]"
NUM-GEO-ROTATION,NUM,Perform rotations of shapes,5,7,"[""CORE""]","[""AC9M5SP02""]"
NUM-GEO-SYMMETRY-LINE-ROTATIONAL,NUM,Identify line and rotational symmetry,4,7,"[""CORE""]","[""AC9M4SP03""]"
NUM-GEO-COORD-QUADRANT-I,NUM,Plot and read coordinates in Quadrant I,4,6,"[""FOUNDATION""]","[""AC9M4SP04""]"
NUM-GEO-COORD-FOUR-QUADRANTS,NUM,Plot and read coordinates in four quadrants,6,8,"[""CORE""]","[""AC9M6SP01""]"
NUM-GEO-COORD-GRAPHING-LINEAR,NUM,Graph linear relationships on coordinate plane,7,9,"[""CORE""]","[""AC9M7SP01""]"
NUM-MEAS-LENGTH-MASS-CAPACITY,NUM,Measure and compare length mass and capacity,2,4,"[""CORE""]","[""AC9M2M01""]"
NUM-MEAS-PERIMETER-AREA,NUM,Calculate perimeter and area,4,6,"[""CORE""]","[""AC9M4M01""]"
NUM-MEAS-VOLUME-CAPACITY,NUM,Calculate volume and capacity,5,6,"[""CORE""]","[""AC9M5M01""]"
NUM-MEAS-UNITS-CONVERSION,NUM,Convert between units of measurement,6,8,"[""CORE""]","[""AC9M6M01""]"
NUM-DATA-READ-INTERPRET-GRAPHS,NUM,Read and interpret graphs and data displays,3,6,"[""CORE""]","[""AC9M3ST01""]"
NUM-DATA-MEAN-MEDIAN-MODE,NUM,Calculate mean median and mode,5,7,"[""CORE""]","[""AC9M5ST01""]"
NUM-DATA-RANGE-VARIABILITY,NUM,Calculate range and understand variability,6,8,"[""CORE""]","[""AC9M6ST01""]"
NUM-DATA-CRITICAL-INTERPRETATION,NUM,Critically interpret statistical data,7,9,"[""STRETCH""]","[""AC9M7ST01""]"
NUM-PROB-LIKELIHOOD-LANGUAGE,NUM,Use language of probability and likelihood,3,5,"[""FOUNDATION""]","[""AC9M3P01""]"
NUM-PROB-THEORETICAL-PROBABILITY,NUM,Calculate theoretical probability,6,8,"[""CORE""]","[""AC9M6P01""]"
NUM-PROB-EXPERIMENTAL-VS-THEORETICAL,NUM,Compare experimental and theoretical probability,7,9,"[""CORE""]","[""AC9M7P01""]"
NUM-PROB-COMPOUND-EVENTS,NUM,Calculate probability of compound events,8,9,"[""STRETCH""]","[""AC9M8P01""]"
READ-DEC-PHONICS-GRAPHEME-MAPPING,READ,Map phonemes to graphemes for decoding,1,2,"[""FOUNDATION""]","[""AC9E1LY01""]"
READ-DEC-MULTI-SYLLABIC-WORDS,READ,Decode multi-syllabic words,2,4,"[""CORE""]","[""AC9E2LY01""]"
READ-FLUENCY-ACCURACY-RATE,READ,Read with accuracy at appropriate rate,1,4,"[""FOUNDATION"",""CORE""]","[""AC9E1LY02""]"
READ-FLUENCY-PHRASING-PROSODY,READ,Read with appropriate phrasing and prosody,2,5,"[""CORE""]","[""AC9E2LY02""]"
READ-FLUENCY-STAMINA,READ,Sustain reading for extended periods,3,6,"[""CORE""]","[""AC9E3LY01""]"
READ-LIT-MAIN-IDEA,READ,Identify main idea of a text,1,4,"[""FOUNDATION""]","[""AC9E1LA01""]"
READ-LIT-KEY-DETAILS,READ,Identify key details that support main idea,1,5,"[""FOUNDATION"",""CORE""]","[""AC9E1LA02""]"
READ-LIT-SEQUENCE-EVENTS,READ,Sequence events in a text,2,5,"[""CORE""]","[""AC9E2LA01""]"
READ-LIT-WHO-WHAT-WHERE-WHEN,READ,Identify who what where when in texts,1,3,"[""FOUNDATION""]","[""AC9E1LA03""]"
READ-LIT-CAUSE-EFFECT-EXPLICIT,READ,Identify explicit cause and effect relationships,3,6,"[""CORE""]","[""AC9E3LA01""]"
READ-VOC-CONTEXT-CLUES,READ,Use context clues to determine word meaning,2,6,"[""CORE""]","[""AC9E2LA02""]"
READ-VOC-MULTIPLE-MEANINGS,READ,Understand words with multiple meanings,3,7,"[""CORE""]","[""AC9E3LA02""]"
READ-VOC-TIER-2-ACADEMIC,READ,Understand Tier 2 academic vocabulary,4,9,"[""CORE""]","[""AC9E4LA01""]"
READ-VOC-FIGURATIVE-LANGUAGE,READ,Interpret figurative language,4,9,"[""CORE"",""STRETCH""]","[""AC9E4LA02""]"
READ-INF-INFER-CHARACTER-TRAITS,READ,Infer character traits from text evidence,2,6,"[""CORE""]","[""AC9E2LE01""]"
READ-INF-INFER-MOTIVATION-INTENT,READ,Infer character motivation and intent,3,7,"[""CORE""]","[""AC9E3LE01""]"
READ-INF-INFER-CAUSE-EFFECT,READ,Infer cause and effect relationships,4,8,"[""CORE""]","[""AC9E4LE01""]"
READ-INF-INFER-THEME,READ,Infer theme from text,4,9,"[""CORE""]","[""AC9E4LE02""]"
READ-INF-MAKING-CONNECTIONS,READ,Make connections within and between texts,3,9,"[""CORE"",""STRETCH""]","[""AC9E3LE02""]"
READ-STRUCT-TEXT-TYPES,READ,Identify features of different text types,2,5,"[""CORE""]","[""AC9E2LA03""]"
READ-STRUCT-PARAGRAPHING,READ,Understand paragraph structure and purpose,3,6,"[""CORE""]","[""AC9E3LA03""]"
READ-STRUCT-HEADINGS-SUBHEADINGS,READ,Use headings and subheadings to navigate texts,3,6,"[""CORE""]","[""AC9E3LA04""]"
READ-STRUCT-CHRONOLOGICAL-NONCHRONOLOGICAL,READ,Distinguish chronological and non-chronological structures,4,7,"[""CORE""]","[""AC9E4LA03""]"
READ-AUTHOR-PURPOSE,READ,Identify author purpose,3,6,"[""CORE""]","[""AC9E3LA05""]"
READ-AUTHOR-POINT-OF-VIEW,READ,Identify author point of view,4,8,"[""CORE""]","[""AC9E4LA04""]"
READ-AUTHOR-BIAS,READ,Identify author bias and perspective,6,9,"[""CORE""]","[""AC9E6LA01""]"
READ-AUTHOR-TONE-MOOD,READ,Identify tone and mood in texts,4,9,"[""CORE""]","[""AC9E4LA05""]"
READ-EVAL-TEXT-EVIDENCE,READ,Use text evidence to support interpretations,4,9,"[""CORE""]","[""AC9E4LE03""]"
READ-EVAL-COMPARE-TEXTS,READ,Compare and contrast texts,5,9,"[""CORE""]","[""AC9E5LE01""]"
READ-EVAL-ARGUMENT-QUALITY,READ,Evaluate quality of arguments in texts,6,9,"[""CORE""]","[""AC9E6LE01""]"
READ-EVAL-CREDIBILITY-SOURCES,READ,Evaluate credibility of sources,6,9,"[""CORE"",""STRETCH""]","[""AC9E6LE02""]"
READ-CRIT-FACT-VS-OPINION,READ,Distinguish fact from opinion,4,8,"[""CORE""]","[""AC9E4LA06""]"
READ-CRIT-PERSUASIVE-DEVICES,READ,Identify persuasive devices and techniques,5,9,"[""CORE""]","[""AC9E5LA01""]"
READ-CRIT-ASSUMPTIONS-IMPLICIT,READ,Identify implicit assumptions in texts,7,9,"[""STRETCH""]","[""AC9E7LA01""]"
READ-CRIT-MULTIMODAL-TEXTS,READ,Interpret multimodal texts,5,9,"[""CORE""]","[""AC9E5LA02""]"
READ-TEXT-NARRATIVE,READ,Comprehend narrative texts,1,9,"[""FOUNDATION"",""CORE""]","[""AC9E1LE01""]"
READ-TEXT-INFORMATIONAL,READ,Comprehend informational texts,2,9,"[""CORE""]","[""AC9E2LE02""]"
READ-TEXT-PERSUASIVE,READ,Comprehend persuasive texts,3,9,"[""CORE""]","[""AC9E3LE03""]"
READ-TEXT-PROCEDURAL,READ,Comprehend procedural texts,2,6,"[""CORE""]","[""AC9E2LE03""]"
READ-TEXT-DIGITAL-ONLINE,READ,Navigate and comprehend digital texts,4,9,"[""CORE"",""STRETCH""]","[""AC9E4LE04""]"
READ-STRETCH-SYNTHESISE-MULTIPLE-TEXTS,READ,Synthesise information from multiple texts,8,9,"[""STRETCH""]","[""AC9E8LE01""]"
READ-STRETCH-ABSTRACT-THEMES,READ,Analyse abstract themes across texts,8,9,"[""STRETCH""]","[""AC9E8LE02""]"
READ-STRETCH-IMPLICIT-IDEOLOGY,READ,Identify implicit ideology in texts,9,9,"[""STRETCH""]","[""AC9E9LE01""]"
WRITE-IDEA-GENERATE-TOPIC-IDEAS,WRITE,Generate ideas for writing topics,1,3,"[""FOUNDATION""]","[""AC9E1LY03""]"
WRITE-IDEA-RELEVANCE-FOCUS,WRITE,Maintain relevance and focus in writing,2,6,"[""CORE""]","[""AC9E2LY03""]"
WRITE-IDEA-ELABORATION-DETAIL,WRITE,Elaborate ideas with supporting details,3,9,"[""CORE""]","[""AC9E3LY02""]"
WRITE-IDEA-SELECT-EXAMPLES-EVIDENCE,WRITE,Select appropriate examples and evidence,4,9,"[""CORE"",""STRETCH""]","[""AC9E4LY01""]"
WRITE-STRUCT-BEGINNING-MIDDLE-END,WRITE,Structure writing with beginning middle end,1,3,"[""FOUNDATION""]","[""AC9E1LC01""]"
WRITE-STRUCT-PARAGRAPHING,WRITE,Organise writing into paragraphs,3,6,"[""CORE""]","[""AC9E3LC01""]"
WRITE-STRUCT-LOGICAL-SEQUENCING,WRITE,Sequence ideas logically,3,7,"[""CORE""]","[""AC9E3LC02""]"
WRITE-STRUCT-INTRODUCTION-CONCLUSION,WRITE,Write effective introductions and conclusions,4,9,"[""CORE""]","[""AC9E4LC01""]"
WRITE-STRUCT-COHESIVE-DEVICES,WRITE,Use cohesive devices to link ideas,4,9,"[""CORE""]","[""AC9E4LC02""]"
WRITE-SENT-SIMPLE-SENTENCES,WRITE,Write simple sentences correctly,1,3,"[""FOUNDATION""]","[""AC9E1LA04""]"
WRITE-SENT-COMPOUND-SENTENCES,WRITE,Write compound sentences,2,5,"[""CORE""]","[""AC9E2LA04""]"
WRITE-SENT-COMPLEX-SENTENCES,WRITE,Write complex sentences,4,9,"[""CORE""]","[""AC9E4LA07""]"
WRITE-SENT-VARIETY-FOR-EFFECT,WRITE,Vary sentence structure for effect,5,9,"[""CORE"",""STRETCH""]","[""AC9E5LA03""]"
